2019-04-10 04:10:11.623 INFO  [main][DialectDetector:158] Using dialect org.hibernate.dialect.MySQLDialect for MySQL 5.7
2019-04-10 04:10:14.366 INFO  [main][ModuleFrameworkImpl:1326] Starting initial bundles
2019-04-10 04:10:36.219 INFO  [ModuleFramework-Static-Bundles-3][LPKGIndexValidator:166] Passed integrity check
2019-04-10 04:10:36.407 INFO  [main][ModuleFrameworkImpl:1592] Started initial bundles
2019-04-10 04:10:36.407 INFO  [main][ModuleFrameworkImpl:1627] Starting dynamic bundles
2019-04-10 04:10:58.640 INFO  [main][ModuleFrameworkImpl:1716] Started dynamic bundles
2019-04-10 04:10:58.655 INFO  [main][ModuleFrameworkImpl:413] Navigate to Control Panel > Configuration > Gogo Shell and enter "lb" to see all bundles
2019-04-10 04:11:09.405 WARN  [Elasticsearch initialization thread][EmbeddedElasticsearchConnection:286] Liferay is configured to use embedded Elasticsearch as its search engine. Do NOT use embedded Elasticsearch in production. Embedded Elasticsearch is useful for development and demonstration purposes. Remote Elasticsearch connections can be configured in the Control Panel.
2019-04-10 04:11:29.576 INFO  [main][StartupHelper:72] There are no patches installed
2019-04-10 04:11:33.984 INFO  [main][AutoDeployDir:193] Auto deploy scanner started for C:\LR7\liferay-ce-portal-7.1.1-ga2\deploy
2019-04-10 04:11:54.411 ERROR [main][PortletImpl:2920] Unable to link role for portlet [MyCampaigns] with role-name [cf_PROJECT_OWNER] because role-link is null
2019-04-10 04:12:09.559 INFO  [main][ThemeHotDeployListener:108] 1 theme for admin-theme is available for use
2019-04-10 04:12:10.860 INFO  [main][ThemeHotDeployListener:108] 1 theme for classic-theme is available for use
2019-04-10 04:12:10.896 INFO  [main][SystemCheckOSGiCommands:54] System check is enabled. You can run a system check with the command "system:check" in Gogo shell.
2019-04-10 04:12:10.896 INFO  [main][SystemCheckOSGiCommands:64] Running system check
2019-04-10 04:12:10.896 INFO  [main][SystemCheckOSGiCommands:95] Available checkers :[Declarative Service Soft Circular Dependency Checker, Declarative Service Unsatisfied Component Checker, Spring Extender Unavailable Component Checker]
2019-04-10 04:12:10.896 INFO  [main][SystemCheckOSGiCommands:111] Running "Declarative Service Soft Circular Dependency Checker". You can run this by itself with command "ds:softCircularDependency" in gogo shell.
2019-04-10 04:12:12.083 INFO  [main][SystemCheckOSGiCommands:123] Declarative Service Soft Circular Dependency Checker check result: No issues were found.
2019-04-10 04:12:12.083 INFO  [main][SystemCheckOSGiCommands:111] Running "Declarative Service Unsatisfied Component Checker". You can run this by itself with command "ds:unsatisfied" in gogo shell.
2019-04-10 04:12:16.840 INFO  [main][SystemCheckOSGiCommands:123] Declarative Service Unsatisfied Component Checker check result: No issues were found.
2019-04-10 04:12:16.853 INFO  [main][SystemCheckOSGiCommands:111] Running "Spring Extender Unavailable Component Checker". You can run this by itself with command "dm na" in gogo shell.
2019-04-10 04:12:16.854 INFO  [main][SystemCheckOSGiCommands:123] Spring Extender Unavailable Component Checker check result: No issues were found.
2019-04-10 04:46:54.230 INFO  [fileinstall-C:/LR7/liferay-ce-portal-7.1.1-ga2/osgi/modules][BundleStartStopLogger:42] STOPPED com.crowd.funding.database.api_1.0.0 [5878]
2019-04-10 04:46:54.618 INFO  [Refresh Thread: Equinox Container: d08f5495-d595-4ef3-a89a-42ebce63e974][BundleStartStopLogger:42] STOPPED com.crowd.funding.recruitment_1.0.0 [6762]
2019-04-10 04:46:54.647 INFO  [Refresh Thread: Equinox Container: d08f5495-d595-4ef3-a89a-42ebce63e974][BundleStartStopLogger:42] STOPPED nirav.demo_1.0.0 [5884]
2019-04-10 04:46:54.705 INFO  [Refresh Thread: Equinox Container: d08f5495-d595-4ef3-a89a-42ebce63e974][BundleStartStopLogger:42] STOPPED crowd.funding.newsletter.email_1.0.0 [5883]
2019-04-10 04:46:54.726 INFO  [Refresh Thread: Equinox Container: d08f5495-d595-4ef3-a89a-42ebce63e974][BundleStartStopLogger:42] STOPPED com.crowd.funding.user.registration.controller_1.0.0 [5882]
